period,state,stateDescription,estimated-losses,facility-direct,full-service-providers,total-elect-indust,estimated-losses-units,facility-direct-units,full-service-providers-units,total-elect-indust-units
2016,AL,Alabama,4604565,,88225141,88225141,megawatthours,megawatthours,megawatthours,megawatthours
2016,AK,Alaska,319577,,6123202,6123202,megawatthours,megawatthours,megawatthours,megawatthours
2016,WI,Wisconsin,3639615,155,69736183,69736338,megawatthours,megawatthours,megawatthours,megawatthours
2015,AK,Alaska,307256,,6159204,6159204,megawatthours,megawatthours,megawatthours,megawatthours
2015,WY,Wyoming,844303,,16924762,16924762,megawatthours,megawatthours,megawatthours,megawatthours
2015,WV,West Virginia,1611457,,32303026,32303026,megawatthours,megawatthours,megawatthours,megawatthours
2015,WI,Wisconsin,3427091,2292,68696640,68698932,megawatthours,megawatthours,megawatthours,megawatthours
2015,WA,Washington,4495499,,88103002,90116086,megawatthours,megawatthours,megawatthours,megawatthours
2015,NE,Nebraska,1471381,,29495073,29495073,megawatthours,megawatthours,megawatthours,megawatthours
2015,ND,North Dakota,904374,,18128948,18128948,megawatthours,megawatthours,megawatthours,megawatthours
2015,NC,North Carolina,6677071,,133847523,133847523,megawatthours,megawatthours,megawatthours,megawatthours
2015,MT,Montana,708721,,11485015,14206911,megawatthours,megawatthours,megawatthours,megawatthours
2015,MS,Mississippi,2429009,,48691529,48691529,megawatthours,megawatthours,megawatthours,megawatthours
2015,MO,Missouri,4065884,,81504081,81504081,megawatthours,megawatthours,megawatthours,megawatthours
2015,MN,Minnesota,3321348,716369,65862865,66579234,megawatthours,megawatthours,megawatthours,megawatthours
2015,MI,Michigan,5112277,605375,92569534,102479921,megawatthours,megawatthours,megawatthours,megawatthours
2015,ME,Maine,593049,1153,5725214,11888168,megawatthours,megawatthours,megawatthours,megawatthours
2015,MD,Maryland,3082021,22400,29102052,61781719,megawatthours,megawatthours,megawatthours,megawatthours
2015,VT,Vermont,275424,2434,5518675,5521109,megawatthours,megawatthours,megawatthours,megawatthours
2015,VA,Virginia,5587644,,111761995,112009045,megawatthours,megawatthours,megawatthours,megawatthours
2015,UT,Utah,1506165,2328,30190022,30192350,megawatthours,megawatthours,megawatthours,megawatthours
2015,US,United States,187519774,12623813,3191424561,3758992390,megawatthours,megawatthours,megawatthours,megawatthours
2015,TX,Texas,19572003,7091470,385245884,392337354,megawatthours,megawatthours,megawatthours,megawatthours
2015,TN,Tennessee,4970212,12931,99619177,99632108,megawatthours,megawatthours,megawatthours,megawatthours
2015,SD,South Dakota,603715,,12101979,12101979,megawatthours,megawatthours,megawatthours,megawatthours
2015,SC,South Carolina,4057112,,81328246,81328246,megawatthours,megawatthours,megawatthours,megawatthours
2015,RI,Rhode Island,382359,,4560273,7664718,megawatthours,megawatthours,megawatthours,megawatthours
2015,PA,Pennsylvania,7300467,10613,48033853,146344028,megawatthours,megawatthours,megawatthours,megawatthours
2015,OR,Oregon,2357794,,45369896,47263974,megawatthours,megawatthours,megawatthours,megawatthours
2015,OK,Oklahoma,3059805,,61336385,61336385,megawatthours,megawatthours,megawatthours,megawatthours
2015,OH,Ohio,7443598,165285,51702443,149213224,megawatthours,megawatthours,megawatthours,megawatthours
2015,NY,New York,7428654,584067,69816965,148913655,megawatthours,megawatthours,megawatthours,megawatthours
2015,NV,Nevada,1796866,40053,33674330,36019690,megawatthours,megawatthours,megawatthours,megawatthours
2015,NM,New Mexico,1152037,19521,23074032,23093553,megawatthours,megawatthours,megawatthours,megawatthours
2015,NJ,New Jersey,3765849,316806,39363803,75489623,megawatthours,megawatthours,megawatthours,megawatthours
2015,NH,New Hampshire,548700,,5950803,10999149,megawatthours,megawatthours,megawatthours,megawatthours
2015,MA,Massachusetts,2724808,383578,26017777,54621088,megawatthours,megawatthours,megawatthours,megawatthours
2015,LA,Louisiana,4573341,,91676489,91676489,megawatthours,megawatthours,megawatthours,megawatthours
2015,KY,Kentucky,3793236,134994,75903636,76038630,megawatthours,megawatthours,megawatthours,megawatthours
2015,KS,Kansas,1987900,,39849127,39849127,megawatthours,megawatthours,megawatthours,megawatthours
2015,IN,Indiana,5213775,16241,104498277,104514518,megawatthours,megawatthours,megawatthours,megawatthours
2015,IL,Illinois,6915147,453114,45094485,138619970,megawatthours,megawatthours,megawatthours,megawatthours
2015,ID,Idaho,1150304,,23058814,23058814,megawatthours,megawatthours,megawatthours,megawatthours
2015,IA,Iowa,2351973,,47147293,47147293,megawatthours,megawatthours,megawatthours,megawatthours
2015,HI,Hawaii,474480,8126,9503226,9511352,megawatthours,megawatthours,megawatthours,megawatthours
2015,GA,Georgia,6778373,21605,135856610,135878215,megawatthours,megawatthours,megawatthours,megawatthours
2015,FL,Florida,11753029,2052,235597346,235599398,megawatthours,megawatthours,megawatthours,megawatthours
2015,DE,Delaware,573595,,7142444,11498205,megawatthours,megawatthours,megawatthours,megawatthours
2015,DC,District of Columbia,563270,,3241076,11291233,megawatthours,megawatthours,megawatthours,megawatthours
2015,CT,Connecticut,1470437,20663,12457127,29476155,megawatthours,megawatthours,megawatthours,megawatthours
2015,CO,Colorado,2699614,172007,53944039,54116046,megawatthours,megawatthours,megawatthours,megawatthours
2015,CA,California,13028657,1763967,230583822,261170437,megawatthours,megawatthours,megawatthours,megawatthours
2015,AZ,Arizona,3858626,53918,77295498,77349416,megawatthours,megawatthours,megawatthours,megawatthours
2015,AR,Arkansas,2317944,451,46464703,46465154,megawatthours,megawatthours,megawatthours,megawatthours
2015,AL,Alabama,4432118,,88845543,88845543,megawatthours,megawatthours,megawatthours,megawatthours
2014,ME,Maine,624978,1483,162660,12002661,megawatthours,megawatthours,megawatthours,megawatthours
2014,MI,Michigan,5379559,416134,91446084,103314098,megawatthours,megawatthours,megawatthours,megawatthours
2014,VA,Virginia,5836956,,112054916,112098381,megawatthours,megawatthours,megawatthours,megawatthours
2014,UT,Utah,1564338,2235,30040784,30043019,megawatthours,megawatthours,megawatthours,megawatthours
2014,US,United States,196027713,16417957,3184841482,3764700267,megawatthours,megawatthours,megawatthours,megawatthours
2014,TX,Texas,20290084,9856842,379812978,389669820,megawatthours,megawatthours,megawatthours,megawatthours
2014,TN,Tennessee,5218409,13951,100205279,100219230,megawatthours,megawatthours,megawatthours,megawatthours
2014,SD,South Dakota,643310,,12354726,12354726,megawatthours,megawatthours,megawatthours,megawatthours
2014,SC,South Carolina,4249936,,81619765,81619765,megawatthours,megawatthours,megawatthours,megawatthours
2014,RI,Rhode Island,397976,,5074465,7643104,megawatthours,megawatthours,megawatthours,megawatthours
2014,PA,Pennsylvania,7638019,10459,46484296,146687698,megawatthours,megawatthours,megawatthours,megawatthours
2014,OR,Oregon,2464728,,45493070,47334953,megawatthours,megawatthours,megawatthours,megawatthours
2014,OK,Oklahoma,3206122,,61573374,61573374,megawatthours,megawatthours,megawatthours,megawatthours
2014,OH,Ohio,7845883,173868,53328386,150679713,megawatthours,megawatthours,megawatthours,megawatthours
2014,NY,New York,7673647,592861,69283139,147371913,megawatthours,megawatthours,megawatthours,megawatthours
2014,NV,Nevada,1826385,31202,32911493,35075606,megawatthours,megawatthours,megawatthours,megawatthours
2014,NM,New Mexico,1203608,21451,23093771,23115222,megawatthours,megawatthours,megawatthours,megawatthours
2014,NJ,New Jersey,3846202,272626,36298399,73866078,megawatthours,megawatthours,megawatthours,megawatthours
2014,MD,Maryland,3211875,16826,29386791,61683869,megawatthours,megawatthours,megawatthours,megawatthours
2014,MA,Massachusetts,2836213,371634,29314394,54469292,megawatthours,megawatthours,megawatthours,megawatthours
2014,LA,Louisiana,4719011,,90628316,90628316,megawatthours,megawatthours,megawatthours,megawatthours
2014,KY,Kentucky,4105138,174608,78664316,78838924,megawatthours,megawatthours,megawatthours,megawatthours
2014,KS,Kansas,2112040,,40561606,40561606,megawatthours,megawatthours,megawatthours,megawatthours
2014,IN,Indiana,5568490,,106942504,106942504,megawatthours,megawatthours,megawatthours,megawatthours
2014,IL,Illinois,7369994,447337,42811128,141540287,megawatthours,megawatthours,megawatthours,megawatthours
2014,ID,Idaho,1209756,,23233284,23233284,megawatthours,megawatthours,megawatthours,megawatthours
2014,IA,Iowa,2457798,,47201853,47201853,megawatthours,megawatthours,megawatthours,megawatthours
2014,HI,Hawaii,493386,8114,9467338,9475452,megawatthours,megawatthours,megawatthours,megawatthours
2014,GA,Georgia,7070573,22154,135767778,135789932,megawatthours,megawatthours,megawatthours,megawatthours
2014,FL,Florida,11771873,,226078111,226078111,megawatthours,megawatthours,megawatthours,megawatthours
2014,DE,Delaware,590394,2029,6824942,11338477,megawatthours,megawatthours,megawatthours,megawatthours
2014,DC,District of Columbia,582849,,3017001,11193589,megawatthours,megawatthours,megawatthours,megawatthours
2014,CT,Connecticut,1528485,61066,12637103,29354460,megawatthours,megawatthours,megawatthours,megawatthours
2014,CO,Colorado,2780354,59848,53336673,53396521,megawatthours,megawatthours,megawatthours,megawatthours
2014,CA,California,13672774,2664135,232926669,262584786,megawatthours,megawatthours,megawatthours,megawatthours
2014,AZ,Arizona,3972816,85200,76212485,76297685,megawatthours,megawatthours,megawatthours,megawatthours
2014,AK,Alaska,321001,,6164812,6164812,megawatthours,megawatthours,megawatthours,megawatthours
2014,WY,Wyoming,892170,,17134075,17134075,megawatthours,megawatthours,megawatthours,megawatthours
2014,WV,West Virginia,1702484,,32696106,32696106,megawatthours,megawatthours,megawatthours,megawatthours
2014,WI,Wisconsin,3618588,271019,69223736,69494755,megawatthours,megawatthours,megawatthours,megawatthours
2014,WA,Washington,4797765,20068,90021490,92140777,megawatthours,megawatthours,megawatthours,megawatthours
2014,AR,Arkansas,2451468,,47080301,47080301,megawatthours,megawatthours,megawatthours,megawatthours
2014,AL,Alabama,4712003,,90493727,90493727,megawatthours,megawatthours,megawatthours,megawatthours
2014,NH,New Hampshire,569858,,5935176,10944081,megawatthours,megawatthours,megawatthours,megawatthours
2014,NE,Nebraska,1573666,,30222168,30222168,megawatthours,megawatthours,megawatthours,megawatthours
2014,ND,North Dakota,949742,,18239732,18239732,megawatthours,megawatthours,megawatthours,megawatthours
2014,NC,North Carolina,6932216,,133132776,133132776,megawatthours,megawatthours,megawatthours,megawatthours
2014,MT,Montana,734311,,11492057,14102392,megawatthours,megawatthours,megawatthours,megawatthours
2014,MS,Mississippi,2572704,,49408631,49408631,megawatthours,megawatthours,megawatthours,megawatthours
2014,MO,Missouri,4367543,,83878397,83878397,megawatthours,megawatthours,megawatthours,megawatthours
2014,MN,Minnesota,3578213,820748,67898619,68719367,megawatthours,megawatthours,megawatthours,megawatthours
2014,VT,Vermont,290022,59,5569802,5569861,megawatthours,megawatthours,megawatthours,megawatthours
2013,GA,Georgia,7010277,6195,130491275,130497470,megawatthours,megawatthours,megawatthours,megawatthours
2013,HI,Hawaii,510507,2173,9500991,9503164,megawatthours,megawatthours,megawatthours,megawatthours
2013,WV,West Virginia,1686789,0,31399850,31399850,megawatthours,megawatthours,megawatthours,megawatthours
2013,WI,Wisconsin,3713319,301355,68822688,69124043,megawatthours,megawatthours,megawatthours,megawatthours
2013,WA,Washington,4989626,43186,90750103,92882723,megawatthours,megawatthours,megawatthours,megawatthours
2013,VT,Vermont,300170,5457,5582255,5587712,megawatthours,megawatthours,megawatthours,megawatthours
2013,VA,Virginia,5936655,0,110511827,110511827,megawatthours,megawatthours,megawatthours,megawatthours
2013,UT,Utah,1637054,,30474034,30474034,megawatthours,megawatthours,megawatthours,megawatthours
2013,US,United States,200098551,18464996,3147192126,3724867821,megawatthours,megawatthours,megawatthours,megawatthours
2013,TX,Texas,20349926,10011263,368805991,378817254,megawatthours,megawatthours,megawatthours,megawatthours
2013,TN,Tennessee,5207797,13302,96930711,96944013,megawatthours,megawatthours,megawatthours,megawatthours
2013,SD,South Dakota,655906,,12209799,12209799,megawatthours,megawatthours,megawatthours,megawatthours
2013,SC,South Carolina,4222476,,78602094,78602094,megawatthours,megawatthours,megawatthours,megawatthours
2013,RI,Rhode Island,417999,,5142158,7781122,megawatthours,megawatthours,megawatthours,megawatthours
2013,PA,Pennsylvania,7856699,30674,47573806,146253763,megawatthours,megawatthours,megawatthours,megawatthours
2013,OR,Oregon,2559256,58368,45610192,47640978,megawatthours,megawatthours,megawatthours,megawatthours
2013,OK,Oklahoma,3219373,,59929172,59929172,megawatthours,megawatthours,megawatthours,megawatthours
2013,OH,Ohio,8074439,173422,56979965,150307018,megawatthours,megawatthours,megawatthours,megawatthours
2013,NY,New York,7944873,404503,70398866,147895127,megawatthours,megawatthours,megawatthours,megawatthours
2013,NV,Nevada,1891534,31758,33160751,35211215,megawatthours,megawatthours,megawatthours,megawatthours
2013,NM,New Mexico,1239045,2835,23062191,23065026,megawatthours,megawatthours,megawatthours,megawatthours
2013,NJ,New Jersey,4009763,250648,35800834,74642399,megawatthours,megawatthours,megawatthours,megawatthours
2013,NH,New Hampshire,593241,4,5936890,11043276,megawatthours,megawatthours,megawatthours,megawatthours
2013,NE,Nebraska,1649225,,30700605,30700605,megawatthours,megawatthours,megawatthours,megawatthours
2013,ND,North Dakota,861285,,16032967,16032967,megawatthours,megawatthours,megawatthours,megawatthours
2013,NC,North Carolina,6971730,0,129779905,129779905,megawatthours,megawatthours,megawatthours,megawatthours
2013,MT,Montana,754502,,11348089,14045174,megawatthours,megawatthours,megawatthours,megawatthours
2013,MS,Mississippi,2620551,,48781990,48781990,megawatthours,megawatthours,megawatthours,megawatthours
2013,MO,Missouri,4480592,,83406957,83406957,megawatthours,megawatthours,megawatthours,megawatthours
2013,MN,Minnesota,3687536,942126,67701977,68644103,megawatthours,megawatthours,megawatthours,megawatthours
2013,AL,Alabama,4719383,0,87852107,87852107,megawatthours,megawatthours,megawatthours,megawatthours
2013,FL,Florida,11921436,2177,221917337,221919514,megawatthours,megawatthours,megawatthours,megawatthours
2013,DE,Delaware,609603,2066,6808130,11347856,megawatthours,megawatthours,megawatthours,megawatthours
2013,DC,District of Columbia,595510,,2797524,11085519,megawatthours,megawatthours,megawatthours,megawatthours
2013,CT,Connecticut,1602162,73201,11052116,29824516,megawatthours,megawatthours,megawatthours,megawatthours
2013,CO,Colorado,2870866,64793,53376856,53441649,megawatthours,megawatthours,megawatthours,megawatthours
2013,CA,California,14038685,4521789,231258488,261332459,megawatthours,megawatthours,megawatthours,megawatthours
2013,AZ,Arizona,4064537,103929,75558108,75662037,megawatthours,megawatthours,megawatthours,megawatthours
2013,AR,Arkansas,2507796,0,46683034,46683034,megawatthours,megawatthours,megawatthours,megawatthours
2013,AK,Alaska,336726,,6268212,6268212,megawatthours,megawatthours,megawatthours,megawatthours
2013,MI,Michigan,5535180,440435,92605231,103038305,megawatthours,megawatthours,megawatthours,megawatthours
2013,IA,Iowa,2508987,0,46705216,46705216,megawatthours,megawatthours,megawatthours,megawatthours
2013,ME,Maine,636849,,159790,11855047,megawatthours,megawatthours,megawatthours,megawatthours
2013,MD,Maryland,3325218,13688,28809703,61899478,megawatthours,megawatthours,megawatthours,megawatthours
2013,MA,Massachusetts,2968820,309066,29469135,55265074,megawatthours,megawatthours,megawatthours,megawatthours
2013,LA,Louisiana,4609571,0,85807932,85807932,megawatthours,megawatthours,megawatthours,megawatthours
2013,KY,Kentucky,4553483,111955,84651887,84763842,megawatthours,megawatthours,megawatthours,megawatthours
2013,KS,Kansas,2140588,,39847397,39847397,megawatthours,megawatthours,megawatthours,megawatthours
2013,IN,Indiana,5666744,0,105487389,105487389,megawatthours,megawatthours,megawatthours,megawatthours
2013,IL,Illinois,7617707,451507,43479152,141804888,megawatthours,megawatthours,megawatthours,megawatthours
2013,ID,Idaho,1300448,93121,24114935,24208056,megawatthours,megawatthours,megawatthours,megawatthours
2013,WY,Wyoming,916109,,17053514,17053514,megawatthours,megawatthours,megawatthours,megawatthours
2012,AK,Alaska,347474,,6416411,6416411,megawatthours,megawatthours,megawatthours,megawatthours
2012,DE,Delaware,623817,2152,7063915,11519331,megawatthours,megawatthours,megawatthours,megawatthours
2012,WV,West Virginia,1668876,,30817241,30817241,megawatthours,megawatthours,megawatthours,megawatthours
2012,WI,Wisconsin,3726880,,68820090,68820090,megawatthours,megawatthours,megawatthours,megawatthours
2012,WA,Washington,5000384,37537,90002831,92336441,megawatthours,megawatthours,megawatthours,megawatthours
2012,VT,Vermont,298430,,5510764,5510764,megawatthours,megawatthours,megawatthours,megawatthours
2012,VA,Virginia,5837525,,107794985,107794985,megawatthours,megawatthours,megawatthours,megawatthours
2012,UT,Utah,1609638,,29723368,29723368,megawatthours,megawatthours,megawatthours,megawatthours
2012,US,United States,200079915,8263438,3172096249,3694649786,megawatthours,megawatthours,megawatthours,megawatthours
2012,FL,Florida,11950389,549,220673784,220674333,megawatthours,megawatthours,megawatthours,megawatthours
2012,TX,Texas,19771834,3361974,361742157,365104131,megawatthours,megawatthours,megawatthours,megawatthours
2012,TN,Tennessee,5219438,0,96381472,96381472,megawatthours,megawatthours,megawatthours,megawatthours
2012,SD,South Dakota,635454,,11734210,11734210,megawatthours,megawatthours,megawatthours,megawatthours
2012,SC,South Carolina,4212147,,77780953,77780953,megawatthours,megawatthours,megawatthours,megawatthours
2012,RI,Rhode Island,417437,,5015643,7708334,megawatthours,megawatthours,megawatthours,megawatthours
2012,PA,Pennsylvania,7836605,122234,50475950,144709727,megawatthours,megawatthours,megawatthours,megawatthours
2012,OR,Oregon,2528386,,45097314,46688856,megawatthours,megawatthours,megawatthours,megawatthours
2012,OK,Oklahoma,3213530,,59340624,59340624,megawatthours,megawatthours,megawatthours,megawatthours
2012,OH,Ohio,8256143,160952,71872778,152456864,megawatthours,megawatthours,megawatthours,megawatthours
2012,NY,New York,7752825,327179,71680944,143162668,megawatthours,megawatthours,megawatthours,megawatthours
2012,NE,Nebraska,1669455,,30827939,30827939,megawatthours,megawatthours,megawatthours,megawatthours
2012,ND,North Dakota,796981,,14716956,14716956,megawatthours,megawatthours,megawatthours,megawatthours
2012,NV,Nevada,1905132,32159,33534643,35179918,megawatthours,megawatthours,megawatthours,megawatthours
2012,NM,New Mexico,1255211,,23178568,23178568,megawatthours,megawatthours,megawatthours,megawatthours
2012,NJ,New Jersey,4064412,167423,37529127,75052914,megawatthours,megawatthours,megawatthours,megawatthours
2012,NH,New Hampshire,588668,0,6780802,10870261,megawatthours,megawatthours,megawatthours,megawatthours
2012,NC,North Carolina,6936304,,128084893,128084893,megawatthours,megawatthours,megawatthours,megawatthours
2012,MT,Montana,750757,,11167951,13863383,megawatthours,megawatthours,megawatthours,megawatthours
2012,MS,Mississippi,2620384,,48387675,48387675,megawatthours,megawatthours,megawatthours,megawatthours
2012,MO,Missouri,4464201,,82435359,82435359,megawatthours,megawatthours,megawatthours,megawatthours
2012,GA,Georgia,7093025,,130978872,130978872,megawatthours,megawatthours,megawatthours,megawatthours
2012,HI,Hawaii,521999,0,9639157,9639157,megawatthours,megawatthours,megawatthours,megawatthours
2012,IA,Iowa,2475329,,45709100,45709100,megawatthours,megawatthours,megawatthours,megawatthours
2012,ID,Idaho,1284091,218452,23493407,23711859,megawatthours,megawatthours,megawatthours,megawatthours
2012,IL,Illinois,7773260,644397,61243585,143540004,megawatthours,megawatthours,megawatthours,megawatthours
2012,IN,Indiana,5695557,288491,104884934,105173425,megawatthours,megawatthours,megawatthours,megawatthours
2012,KS,Kansas,2182051,,40293476,40293476,megawatthours,megawatthours,megawatthours,megawatthours
2012,KY,Kentucky,4822328,,89048490,89048490,megawatthours,megawatthours,megawatthours,megawatthours
2012,LA,Louisiana,4588505,,84730743,84730743,megawatthours,megawatthours,megawatthours,megawatthours
2012,MA,Massachusetts,2995436,307590,29537183,55313324,megawatthours,megawatthours,megawatthours,megawatthours
2012,MD,Maryland,3347449,29488,29298603,61813552,megawatthours,megawatthours,megawatthours,megawatthours
2012,ME,Maine,626077,,155943,11561059,megawatthours,megawatthours,megawatthours,megawatthours
2012,MI,Michigan,5676320,445628,95173582,104818191,megawatthours,megawatthours,megawatthours,megawatthours
2012,MN,Minnesota,3681848,843958,67144577,67988535,megawatthours,megawatthours,megawatthours,megawatthours
2012,AL,Alabama,4667126,0,86182548,86182548,megawatthours,megawatthours,megawatthours,megawatthours
2012,AR,Arkansas,2537631,33463,46826104,46859567,megawatthours,megawatthours,megawatthours,megawatthours
2012,AZ,Arizona,4064977,26189,75037154,75063343,megawatthours,megawatthours,megawatthours,megawatthours
2012,CA,California,14055012,942213,234402668,259538038,megawatthours,megawatthours,megawatthours,megawatthours
2012,CO,Colorado,2907271,231022,53454275,53685297,megawatthours,megawatthours,megawatthours,megawatthours
2012,CT,Connecticut,1597127,40388,10492417,29492338,megawatthours,megawatthours,megawatthours,megawatthours
2012,DC,District of Columbia,609711,,2808730,11258845,megawatthours,megawatthours,megawatthours,megawatthours
2012,WY,Wyoming,919066,,16971354,16971354,megawatthours,megawatthours,megawatthours,megawatthours
2011,WY,Wyoming,1076307,,17417762,17417762,megawatthours,megawatthours,megawatthours,megawatthours
2011,AK,Alaska,390507,,6319540,6319540,megawatthours,megawatthours,megawatthours,megawatthours
2011,WI,Wisconsin,4239761,,68611622,68611622,megawatthours,megawatthours,megawatthours,megawatthours
2011,WA,Washington,5791603,39026,91363506,93724917,megawatthours,megawatthours,megawatthours,megawatthours
2011,VT,Vermont,342966,,5550184,5550184,megawatthours,megawatthours,megawatthours,megawatthours
2011,VA,Virginia,6811405,,110228265,110228265,megawatthours,megawatthours,megawatthours,megawatthours
2011,UT,Utah,1783299,,28858946,28858946,megawatthours,megawatthours,megawatthours,megawatthours
2011,US,United States,231716623,10259330,3272622353,3749846180,megawatthours,megawatthours,megawatthours,megawatthours
2011,TX,Texas,23238430,5690036,370375080,376065116,megawatthours,megawatthours,megawatthours,megawatthours
2011,TN,Tennessee,6224678,0,100733329,100733329,megawatthours,megawatthours,megawatthours,megawatthours
2011,SD,South Dakota,721725,,11679600,11679600,megawatthours,megawatthours,megawatthours,megawatthours
2011,SC,South Carolina,4973680,,80488546,80488546,megawatthours,megawatthours,megawatthours,megawatthours
2011,RI,Rhode Island,477814,,5265323,7732420,megawatthours,megawatthours,megawatthours,megawatthours
2011,PA,Pennsylvania,9192250,119778,65055790,148757238,megawatthours,megawatthours,megawatthours,megawatthours
2011,OR,Oregon,2914895,,45759936,47171446,megawatthours,megawatthours,megawatthours,megawatthours
2011,OK,Oklahoma,3698151,,59846794,59846794,megawatthours,megawatthours,megawatthours,megawatthours
2011,OH,Ohio,9562337,8,88397902,154746310,megawatthours,megawatthours,megawatthours,megawatthours
2011,NY,New York,8901163,236390,75550811,144046609,megawatthours,megawatthours,megawatthours,megawatthours
2011,NV,Nevada,2095822,32449,32417516,33916479,megawatthours,megawatthours,megawatthours,megawatthours
2011,NM,New Mexico,1423828,,23041665,23041665,megawatthours,megawatthours,megawatthours,megawatthours
2011,NJ,New Jersey,4749444,153186,42522250,76859762,megawatthours,megawatthours,megawatthours,megawatthours
2011,NH,New Hampshire,671611,4074,7357647,10868607,megawatthours,megawatthours,megawatthours,megawatthours
2011,NE,Nebraska,1833793,,29676084,29676084,megawatthours,megawatthours,megawatthours,megawatthours
2011,ND,North Dakota,848860,,13737016,13737016,megawatthours,megawatthours,megawatthours,megawatthours
2011,NC,North Carolina,8100214,,131084933,131084933,megawatthours,megawatthours,megawatthours,megawatthours
2011,MT,Montana,852016,,11131135,13788081,megawatthours,megawatthours,megawatthours,megawatthours
2011,MS,Mississippi,3048747,,49337557,49337557,megawatthours,megawatthours,megawatthours,megawatthours
2011,MO,Missouri,5206413,,84254841,84254841,megawatthours,megawatthours,megawatthours,megawatthours
2011,MN,Minnesota,4234885,781804,67750904,68532708,megawatthours,megawatthours,megawatthours,megawatthours
2011,MI,Michigan,6491641,461327,95230803,105053558,megawatthours,megawatthours,megawatthours,megawatthours
2011,ME,Maine,705396,,155374,11415345,megawatthours,megawatthours,megawatthours,megawatthours
2011,MD,Maryland,3930057,562,31636835,63599711,megawatthours,megawatthours,megawatthours,megawatthours
2011,MA,Massachusetts,3433867,301949,30286691,55569912,megawatthours,megawatthours,megawatthours,megawatthours
2011,LA,Louisiana,5337059,,86369081,86369081,megawatthours,megawatthours,megawatthours,megawatthours
2011,KY,Kentucky,5532899,,89538341,89538341,megawatthours,megawatthours,megawatthours,megawatthours
2011,KS,Kansas,2518733,,40760399,40760399,megawatthours,megawatthours,megawatthours,megawatthours
2011,IN,Indiana,6538887,298493,105519646,105818139,megawatthours,megawatthours,megawatthours,megawatthours
2011,IL,Illinois,8829418,412746,72505128,142885567,megawatthours,megawatthours,megawatthours,megawatthours
2011,ID,Idaho,1438044,151660,23120064,23271724,megawatthours,megawatthours,megawatthours,megawatthours
2011,IA,Iowa,2821181,,45654877,45654877,megawatthours,megawatthours,megawatthours,megawatthours
2011,HI,Hawaii,615567,0,9961653,9961653,megawatthours,megawatthours,megawatthours,megawatthours
2011,GA,Georgia,8426869,,136371149,136371149,megawatthours,megawatthours,megawatthours,megawatthours
2011,FL,Florida,13909155,636,225089786,225090422,megawatthours,megawatthours,megawatthours,megawatthours
2011,DE,Delaware,709595,478,7347959,11483296,megawatthours,megawatthours,megawatthours,megawatthours
2011,DC,District of Columbia,714461,,3066258,11562055,megawatthours,megawatthours,megawatthours,megawatthours
2011,CT,Connecticut,1845096,18052,11365328,29858993,megawatthours,megawatthours,megawatthours,megawatthours
2011,CO,Colorado,3303382,226232,53232053,53458285,megawatthours,megawatthours,megawatthours,megawatthours
2011,CA,California,16186330,844917,238976375,261941700,megawatthours,megawatthours,megawatthours,megawatthours
2011,AZ,Arizona,4631040,7795,74935850,74943645,megawatthours,megawatthours,megawatthours,megawatthours
2011,AR,Arkansas,2961635,18864,47908965,47927829,megawatthours,megawatthours,megawatthours,megawatthours
2011,AL,Alabama,5499347,458868,88536501,88995369,megawatthours,megawatthours,megawatthours,megawatthours
2011,WV,West Virginia,1930356,,31238753,31238753,megawatthours,megawatthours,megawatthours,megawatthours
2010,MO,Missouri,5318146,0,86085117,86085117,megawatthours,megawatthours,megawatthours,megawatthours
2010,WI,Wisconsin,4247371,,68752417,68752417,megawatthours,megawatthours,megawatthours,megawatthours
2010,MT,Montana,850770,,11151737,13771453,megawatthours,megawatthours,megawatthours,megawatthours
2010,NC,North Carolina,8427411,,136414947,136414947,megawatthours,megawatthours,megawatthours,megawatthours
2010,ND,North Dakota,800409,,12956263,12956263,megawatthours,megawatthours,megawatthours,megawatthours
2010,NE,Nebraska,1844033,,29849460,29849460,megawatthours,megawatthours,megawatthours,megawatthours
2010,NH,New Hampshire,672764,5667,7707271,10890074,megawatthours,megawatthours,megawatthours,megawatthours
2010,NJ,New Jersey,4891528,170174,50311861,79179427,megawatthours,megawatthours,megawatthours,megawatthours
2010,NM,New Mexico,1385573,,22428344,22428344,megawatthours,megawatthours,megawatthours,megawatthours
2010,AK,Alaska,385928,,6247038,6247038,megawatthours,megawatthours,megawatthours,megawatthours
2010,AL,Alabama,5613291,0,90862645,90862645,megawatthours,megawatthours,megawatthours,megawatthours
2010,AR,Arkansas,2977335,14015,48180270,48194285,megawatthours,megawatthours,megawatthours,megawatthours
2010,AZ,Arizona,4499462,1293,72831737,72833030,megawatthours,megawatthours,megawatthours,megawatthours
2010,CA,California,15971461,1454701,239499450,258530892,megawatthours,megawatthours,megawatthours,megawatthours
2010,CO,Colorado,3269143,201335,52716451,52917786,megawatthours,megawatthours,megawatthours,megawatthours
2010,CT,Connecticut,1877535,38711,13676247,30391766,megawatthours,megawatthours,megawatthours,megawatthours
2010,DC,District of Columbia,733734,,3388490,11876995,megawatthours,megawatthours,megawatthours,megawatthours
2010,DE,Delaware,716989,,7582539,11605932,megawatthours,megawatthours,megawatthours,megawatthours
2010,FL,Florida,14283613,543,231209071,231209614,megawatthours,megawatthours,megawatthours,megawatthours
