period,state,stateDescription,estimated-losses,facility-direct,full-service-providers,total-elect-indust,estimated-losses-units,facility-direct-units,full-service-providers-units,total-elect-indust-units
2020,CT,Connecticut,1510076,151561,14001202,27113673,megawatthours,megawatthours,megawatthours,megawatthours
2020,CO,Colorado,3121678,92316,55957948,56050264,megawatthours,megawatthours,megawatthours,megawatthours
2020,CA,California,13933295,1962172,177488484,250174672,megawatthours,megawatthours,megawatthours,megawatthours
2020,AZ,Arizona,4564706,92403,81867671,81960074,megawatthours,megawatthours,megawatthours,megawatthours
2020,AR,Arkansas,2553638,33765,45817238,45851003,megawatthours,megawatthours,megawatthours,megawatthours
2020,AL,Alabama,4644657,17280,83378325,83395605,megawatthours,megawatthours,megawatthours,megawatthours
2020,AK,Alaska,329575,,5917577,5917577,megawatthours,megawatthours,megawatthours,megawatthours
2020,WY,Wyoming,853850,,15331018,15331018,megawatthours,megawatthours,megawatthours,megawatthours
2020,WV,West Virginia,1786482,,32076583,32076583,megawatthours,megawatthours,megawatthours,megawatthours
2020,WI,Wisconsin,3756487,,67448361,67448361,megawatthours,megawatthours,megawatthours,megawatthours
2020,WA,Washington,4829035,,84485772,86706144,megawatthours,megawatthours,megawatthours,megawatthours
2020,VT,Vermont,296932,10496,5320962,5331458,megawatthours,megawatthours,megawatthours,megawatthours
2020,VA,Virginia,6530397,,112825144,117254388,megawatthours,megawatthours,megawatthours,megawatthours
2020,UT,Utah,1763456,2142,31661015,31663157,megawatthours,megawatthours,megawatthours,megawatthours
2019,WI,Wisconsin,3749991,,69157540,69157540,megawatthours,megawatthours,megawatthours,megawatthours
2019,WV,West Virginia,1802782,,33247013,33247013,megawatthours,megawatthours,megawatthours,megawatthours
2019,VT,Vermont,294309,2716,5424948,5427664,megawatthours,megawatthours,megawatthours,megawatthours
2019,VA,Virginia,6422026,13045,116816747,118435380,megawatthours,megawatthours,megawatthours,megawatthours
2019,UT,Utah,1688671,4361,31138204,31142565,megawatthours,megawatthours,megawatthours,megawatthours
2019,US,United States,206655385,14590585,3213128642,3811150463,megawatthours,megawatthours,megawatthours,megawatthours
2019,TX,Texas,23280667,7636693,421706711,429343404,megawatthours,megawatthours,megawatthours,megawatthours
2019,TN,Tennessee,5413122,43520,99785580,99829100,megawatthours,megawatthours,megawatthours,megawatthours
2019,SD,South Dakota,697803,,12868931,12868931,megawatthours,megawatthours,megawatthours,megawatthours
